name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",1,6cm,C,0.7,,,P,P,P,P
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",2,3.7cm,X,0.54,,,P,P,P,P
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",3,2cm,U,0.5,,,S,S,S,S
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",4,0.7cm,Q,0.6,,,W,W,W,W
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",0,20cm,L,0.4,,,X,X,X,X
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",1,6cm,C,0.35,100.0,,S,X,X,X
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",2,3.7cm,X,0.4,100.0,,S,X,X,X
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",3,0.7cm,Q,0.3,,,W,W,W,W
0112+321,J2000,01h12m50.3276s,"32d08'17.548""",0,0.7cm,Q,0.51,,,W,W,W,W
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",0,20cm,L,0.65,,,X,X,X,X
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",1,6cm,C,0.74,100.0,,S,X,X,X
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",2,3.7cm,X,0.5,100.0,,S,X,X,X
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",3,2cm,U,0.73,,,,S,S,S
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",4,0.7cm,Q,0.8,,,S,S,S,S
0113+023,J2000,01h13m43.144951s,"02d22'17.316310""",0,20cm,L,0.5,,,X,X,X,X
0113+023,J2000,01h13m43.144951s,"02d22'17.316310""",1,6cm,C,0.56,,,S,S,S,S
0113+023,J2000,01h13m43.144951s,"02d22'17.316310""",2,3.7cm,X,0.54,,,P,S,S,S
0113+023,J2000,01h13m43.144951s,"02d22'17.316310""",3,2cm,U,0.6,,,S,S,S,S
0113+023,J2000,01h13m43.144951s,"02d22'17.316310""",4,0.7cm,Q,0.49,,,W,W,W,W
0113+134,J2000,01h13m54.5102s,"13d24'52.478""",0,0.7cm,Q,0.1,,,W,W,W,W
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",0,90cm,P,6.0,1.0,,S,S,S,X
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",1,20cm,L,1.55,,50.0,X,S,S,S
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",2,6cm,C,0.7,,50.0,X,S,S,S
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",3,3.7cm,X,0.28,,50.0,X,X,S,S
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",0,20cm,L,0.68,,3.0,X,X,X,S
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",1,6cm,C,1.16,75.0,,P,P,X,X
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",2,3.7cm,X,2.0,,,P,P,P,P
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",3,2cm,U,1.7,,,P,P,P,P
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",4,0.7cm,Q,1.1,,,S,S,S,S
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",0,20cm,L,1.6,,2.0,X,X,X,S
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",1,6cm,C,1.4,75.0,,P,S,X,X
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",2,3.7cm,X,1.58,,,P,P,P,P
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",3,2cm,U,1.1,,,P,P,P,P
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",4,0.7cm,Q,0.87,,,S,S,S,S
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",0,90cm,P,13.0,,,S,S,S,S
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",1,20cm,L,3.6,,40.0,X,S,P,P
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",2,6cm,C,1.25,,40.0,X,X,S,P
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",3,3.7cm,X,0.8,,40.0,X,X,X,S
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",4,0.7cm,Q,0.0,,,X,X,X,X
0117+143,J2000,01h17m25.2035s,"14d18'12.434""",0,0.7cm,Q,0.36,,,W,W,W,W
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",0,20cm,L,0.52,50.0,,S,X,X,X
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",1,6cm,C,0.52,25.0,,S,S,S,X
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",2,3.7cm,X,0.54,,,P,P,P,P
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",3,0.7cm,Q,0.39,,,W,W,W,W
0119+084,J2000,01h19m01.2740s,"08d29'54.680""",0,20cm,L,2.1,,40.0,X,S,S,S
0119+084,J2000,01h19m01.2740s,"08d29'54.680""",1,3.7cm,X,0.8,,40.0,X,X,,
0119+084,J2000,01h19m01.2740s,"08d29'54.680""",2,0.7cm,Q,0.31,,,X,X,S,S
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",0,20cm,L,2.6,2.0,,P,P,S,S
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",1,6cm,C,1.48,,200.0,S,S,P,P
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",2,3.7cm,X,1.08,,200.0,X,S,P,P
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",3,2cm,U,0.7,,200.0,X,X,S,S
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",4,0.7cm,Q,0.34,,,W,W,W,W
0120-153,J2000,01h20m27.1972s,"-15d20'16.631""",0,90cm,P,15.0,,3.0,X,X,S,S
0120-153,J2000,01h20m27.1972s,"-15d20'16.631""",1,20cm,L,4.8,,3.0,X,X,X,S
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",0,20cm,L,1.0,,,X,X,X,X
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",1,6cm,C,0.8,200.0,,S,X,X,X
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",2,3.7cm,X,0.84,200.0,,S,S,X,X
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",3,2cm,U,0.7,,,S,S,S,S
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",4,0.7cm,Q,0.52,,,W,W,W,W
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",0,20cm,L,0.76,15.0,50.0,X,S,X,X
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",1,6cm,C,0.79,25.0,,S,S,S,X
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",2,3.7cm,X,1.1,,,S,S,S,S
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",3,2cm,U,1.06,,,S,S,S,S
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",4,0.7cm,Q,1.1,,,S,S,S,S
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",0,20cm,L,0.87,25.0,,P,S,X,X
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",1,6cm,C,0.85,25.0,,S,S,S,X
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",2,3.7cm,X,1.63,,,P,P,P,P
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",3,2cm,U,1.2,,,P,P,P,P
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",4,0.7cm,Q,0.55,,,W,W,W,W
0122+250,J2000,01h22m38.815999s,"25d02'31.793180""",0,20cm,L,0.6,,,S,S,S,S
0122+250,J2000,01h22m38.815999s,"25d02'31.793180""",1,6cm,C,0.53,,,S,S,S,S
0122+250,J2000,01h22m38.815999s,"25d02'31.793180""",2,3.7cm,X,0.73,,,P,P,P,P
0122+250,J2000,01h22m38.815999s,"25d02'31.793180""",3,2cm,U,0.89,,,S,S,S,S
0122+250,J2000,01h22m38.815999s,"25d02'31.793180""",4,0.7cm,Q,0.48,,,W,W,W,W
0122+299,J2000,01h22m45.4279s,"29d54'12.604""",0,0.7cm,Q,0.17,,,W,W,W,W
0123+262,J2000,01h23m43.0432s,"26d15'22.414""",0,0.7cm,Q,0.12,,,W,W,W,W
0124+280,J2000,01h24m55.8766s,"28d05'11.355""",0,0.7cm,Q,0.11,,,W,W,W,W
0125+473,J2000,01h25m07.7070s,"47d18'03.089""",0,0.7cm,Q,0.18,,,W,W,W,W
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",0,20cm,L,1.0,45.0,,S,X,X,X
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",1,6cm,C,1.3,,,P,P,S,S
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",2,3.7cm,X,1.36,,,P,P,P,P
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",3,2cm,U,1.5,,,P,P,P,P
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",4,0.7cm,Q,1.4,,,S,S,S,S
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",0,20cm,L,0.93,20.0,,S,S,X,X
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",1,6cm,C,0.8,15.0,,S,S,S,X
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",2,3.7cm,X,0.73,15.0,,S,S,S,X
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",3,0.7cm,Q,0.38,,,W,W,W,W
0126+707,J2000,01h26m07.8455s,"70d46'52.380""",0,0.7cm,Q,0.13,,,W,W,W,W
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",0,90cm,P,9.0,1.5,12.0,S,S,S,X
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",1,20cm,L,2.95,1.0,12.0,X,X,S,P
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",2,6cm,C,1.0,,12.0,X,X,X,S
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",3,0.7cm,Q,0.2,,,W,W,W,W
0130+087,J2000,01h30m27.6358s,"08d42'46.197""",0,0.7cm,Q,0.19,,,W,W,W,W
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",0,20cm,L,0.75,15.0,,S,S,X,X
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",1,6cm,C,0.65,,,P,P,P,P
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",2,3.7cm,X,0.68,,,P,P,P,P
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",3,2cm,U,0.6,,,S,S,S,S
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",4,0.7cm,Q,1.5,,,S,S,S,S
0132+434,J2000,01h32m44.126857s,"43d25'32.660970""",0,20cm,L,0.17,10.0,,W,W,X,X
0132+434,J2000,01h32m44.126857s,"43d25'32.660970""",1,6cm,C,0.28,,,S,S,S,S
0132+434,J2000,01h32m44.126857s,"43d25'32.660970""",2,3.7cm,X,0.24,,,S,S,S,S
0132+434,J2000,01h32m44.126857s,"43d25'32.660970""",3,0.7cm,Q,0.4,,,W,W,W,W
0134-387,J2000,01h34m32.0382s,"-38d43'33.514""",0,3.7cm,X,0.55,,,S,S,S,S
0134-387,J2000,01h34m32.0382s,"-38d43'33.514""",1,1.3cm,K,0.4,,,S,S,S,S
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",0,20cm,L,0.97,,30.0,X,S,S,S
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",1,6cm,C,0.65,,30.0,X,X,S,P
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",2,3.7cm,X,0.4,,30.0,X,X,X,S
0134+694,J2000,01h34m40.7618s,"69d25'10.896""",0,0.7cm,Q,0.26,,,W,W,W,W
0135+081,J2000,01h35m14.9994s,"08d11'07.106""",0,90cm,P,7.0,1.0,4.0,X,S,S,S
0135+081,J2000,01h35m14.9994s,"08d11'07.106""",1,20cm,L,2.1,,4.0,X,X,X,S
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",0,20cm,L,0.62,10.0,,S,S,X,X
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",1,6cm,C,0.38,,,S,S,S,S
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",2,3.7cm,X,0.68,,,P,P,P,P
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",3,2cm,U,0.46,,,S,S,S,S
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",4,0.7cm,Q,0.26,,,W,W,W,W
0136+478,J2000,01h36m58.594810s,"47d51'29.100060""",0,20cm,L,1.62,,,P,P,S,S
0136+478,J2000,01h36m58.594810s,"47d51'29.100060""",1,6cm,C,1.88,,,P,P,P,P
0136+478,J2000,01h36m58.594810s,"47d51'29.100060""",2,3.7cm,X,1.8,,,P,P,P,P
0136+478,J2000,01h36m58.594810s,"47d51'29.100060""",3,2cm,U,1.6,,,P,P,P,P
0136+478,J2000,01h36m58.594810s,"47d51'29.100060""",4,0.7cm,Q,1.6,,,S,S,S,S
0137+313,J2000,01h37m08.7327s,"31d22'35.789""",0,0.7cm,Q,0.1,,,W,W,W,W
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",0,20cm,L,0.0,,,X,X,X,X
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",1,6cm,C,0.87,100.0,,S,X,X,X
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",2,3.7cm,X,0.84,100.0,400.0,S,S,X,X
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",3,2cm,U,0.9,,,S,S,S,S
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",4,0.7cm,Q,0.85,,,S,S,S,S
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",0,90cm,P,42.0,,,S,S,S,S
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",1,20cm,L,16.5,,40.0,X,P,P,P
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",2,6cm,C,5.48,,40.0,X,S,P,P
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",3,3.7cm,X,3.25,,40.0,X,X,S,P
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",4,2cm,U,1.78,,40.0,X,X,S,P
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",5,1.3cm,K,1.13,,100.0,X,X,X,S
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",6,0.7cm,Q,0.64,,100.0,X,X,X,S
0139+178,J2000,01h39m41.9795s,"17d53'07.539""",0,0.7cm,Q,0.16,,,W,W,W,W
0140+637,J2000,01h40m43.0481s,"63d46'07.000""",0,3.7cm,X,0.42,,,,,S,S
0140+637,J2000,01h40m43.0481s,"63d46'07.000""",1,0.7cm,Q,0.2,,,W,W,W,W
0141+138,J2000,01h41m09.1545s,"13d53'28.033""",0,90cm,P,8.0,1.0,15.0,X,S,S,X
0141+138,J2000,01h41m09.1545s,"13d53'28.033""",1,20cm,L,2.7,,15.0,X,X,S,P
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",0,20cm,L,0.6,45.0,,S,X,X,X
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",1,6cm,C,1.35,50.0,,P,P,X,X
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",2,3.7cm,X,0.85,,,P,P,P,S
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",3,2cm,U,1.6,,,P,P,P,S
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",4,0.7cm,Q,0.6,,,W,W,W,W
0141-271,J2000,01h41m27.1913s,"-27d06'07.125""",0,90cm,P,6.0,1.0,4.0,X,S,S,S
0141-271,J2000,01h41m27.1913s,"-27d06'07.125""",1,20cm,L,1.4,,3.0,X,X,X,S
0143+414,J2000,01h43m03.1836s,"41d29'20.437""",0,0.7cm,Q,0.11,,,W,W,W,W
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",0,20cm,L,1.15,6.0,,P,P,S,X
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",1,6cm,C,0.88,,,P,P,P,P
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",2,3.7cm,X,0.61,,,S,S,S,S
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",3,2cm,U,0.5,,,S,S,S,S
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",4,0.7cm,Q,0.31,,,W,W,W,W
0147+489,J2000,01h47m37.7759s,"48d59'37.505""",0,0.7cm,Q,0.11,,,W,W,W,W
0148+389,J2000,01h48m24.377637s,"38d54'05.219770""",0,20cm,L,0.34,6.0,,S,S,X,X
0148+389,J2000,01h48m24.377637s,"38d54'05.219770""",1,6cm,C,0.41,,,S,S,S,S
0148+389,J2000,01h48m24.377637s,"38d54'05.219770""",2,3.7cm,X,0.34,,,S,S,S,S
0148+389,J2000,01h48m24.377637s,"38d54'05.219770""",3,0.7cm,Q,0.19,,,W,W,W,W
0149+059,J2000,01h49m22.370886s,"05d55'53.568660""",0,20cm,L,0.6,,,S,S,S,S
0149+059,J2000,01h49m22.370886s,"05d55'53.568660""",1,6cm,C,0.89,,,P,P,P,P
0149+059,J2000,01h49m22.370886s,"05d55'53.568660""",2,3.7cm,X,1.16,,,P,P,P,P
0149+059,J2000,01h49m22.370886s,"05d55'53.568660""",3,2cm,U,0.75,,,S,S,S,S
0149+059,J2000,01h49m22.370886s,"05d55'53.568660""",4,0.7cm,Q,0.6,,,W,W,W,W
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",0,20cm,L,0.38,60.0,,S,X,X,X
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",1,6cm,C,0.47,,,S,S,S,S
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",2,3.7cm,X,0.44,,,S,S,S,S
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",3,2cm,U,0.5,,,S,S,S,S
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",4,0.7cm,Q,0.2,,,W,W,W,W
0150-074,J2000,01h50m02.697304s,"-07d25'48.488550""",0,20cm,L,0.33,,,X,X,X,X
0150-074,J2000,01h50m02.697304s,"-07d25'48.488550""",1,3.7cm,X,0.13,,,W,W,W,W
0151+252,J2000,01h51m06.2340s,"25d17'28.643""",0,0.7cm,Q,0.12,,,W,W,W,W
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",0,20cm,L,0.91,15.0,,S,S,X,X
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",1,6cm,C,0.8,,,S,S,S,S
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",2,3.7cm,X,0.68,,,P,P,P,P
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",3,2cm,U,0.6,,,S,S,S,S
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",4,0.7cm,Q,0.3,,,W,W,W,W
0152+372,J2000,01h52m12.2211s,"37d16'05.676""",0,0.7cm,Q,0.17,,,W,W,W,W
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",0,20cm,L,1.07,45.0,,S,X,X,X
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",1,6cm,C,1.43,,,P,P,P,P
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",2,3.7cm,X,1.08,,400.0,S,P,P,P
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",3,2cm,U,1.3,,,S,S,S,S
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",4,0.7cm,Q,1.0,,,S,S,S,S
0152+338,J2000,01h52m34.5754s,"33d50'33.154""",0,0.7cm,Q,0.15,,,W,W,W,W
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",0,20cm,L,0.8,6.0,,S,S,S,X
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",1,6cm,C,0.82,,,P,P,P,P
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",2,3.7cm,X,0.94,,,P,P,P,P
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",3,2cm,U,0.65,,,S,S,S,S
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",4,0.7cm,Q,0.19,,,W,W,W,W
0153+712,J2000,01h53m25.8517s,"71d15'06.476""",0,0.7cm,Q,0.19,,,W,W,W,W
0154+083,J2000,01h54m02.7707s,"08d23'51.080""",0,0.7cm,Q,0.17,,,W,W,W,W
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",0,20cm,L,0.3,40.0,,S,X,X,X
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",1,6cm,C,0.65,,,P,P,P,P
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",2,3.7cm,X,0.69,,,P,P,P,P
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",3,2cm,U,0.79,,,S,S,S,S
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",4,0.7cm,Q,0.34,,,W,W,W,W
0155-408,J2000,01h55m37.059378s,"-40d48'42.356450""",0,20cm,L,1.94,,,P,P,P,P
0155-408,J2000,01h55m37.059378s,"-40d48'42.356450""",1,6cm,C,1.08,,,P,P,P,P
0155-408,J2000,01h55m37.059378s,"-40d48'42.356450""",2,3.7cm,X,0.77,,,P,P,P,P
0155-408,J2000,01h55m37.059378s,"-40d48'42.356450""",3,2cm,U,0.52,,,S,S,S,S
0155-408,J2000,01h55m37.059378s,"-40d48'42.356450""",4,0.7cm,Q,0.3,,,W,W,W,W
0155+225,J2000,01h55m58.9358s,"22d30'11.864""",0,0.7cm,Q,0.1,,,W,W,W,W
0156+392,J2000,01h56m31.4088s,"39d14'30.929""",0,0.7cm,Q,0.37,,,W,W,W,W
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",0,20cm,L,1.85,6.0,,P,P,S,X
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",1,6cm,C,1.6,,,P,P,P,P
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",2,3.7cm,X,0.93,,,P,P,P,P
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",3,2cm,U,0.5,,,S,S,S,S
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",4,0.7cm,Q,0.2,,,W,W,W,W
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",0,20cm,L,2.0,,8.0,X,X,S,S
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",1,6cm,C,0.75,,8.0,X,X,X,S
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",2,3.7cm,X,0.48,,8.0,X,X,X,S
0158+131,J2000,01h58m56.2740s,"13d07'02.737""",0,0.7cm,Q,0.24,,,W,W,W,W
0200+253,J2000,02h00m20.6394s,"25d23'54.694""",0,0.7cm,Q,0.1,,,W,W,W,W
0200+033,J2000,02h00m40.8172s,"03d22'49.502""",0,0.7cm,Q,0.15,,,W,W,W,W
0201+037,J2000,02h01m51.5093s,"03d43'09.256""",0,0.7cm,Q,0.19,,,W,W,W,W
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",0,90cm,P,5.0,3.0,8.0,S,S,X,X
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",1,20cm,L,2.7,,8.0,X,X,S,P
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",2,6cm,C,1.35,,8.0,X,X,X,S
0202+420,J2000,02h02m43.6540s,"42d05'16.342""",0,0.7cm,Q,0.1,,,W,W,W,W
0203+811,J2000,02h03m07.8717s,"81d06'13.211""",0,0.7cm,Q,0.12,,,W,W,W,W
0203+725,J2000,02h03m33.385004s,"72d32'53.667410""",0,20cm,L,0.26,5.0,,W,W,W,W
0203+725,J2000,02h03m33.385004s,"72d32'53.667410""",1,3.7cm,X,0.24,,,S,S,S,S
0203+725,J2000,02h03m33.385004s,"72d32'53.667410""",2,0.7cm,Q,0.14,,,W,W,W,W
0203+541,J2000,02h03m46.6594s,"54d11'57.628""",0,0.7cm,Q,0.1,,,W,W,W,W
0203-438,J2000,02h03m40.7543s,"-43d49'50.783""",0,20cm,L,2.8,,15.0,X,X,S,P
0203-438,J2000,02h03m40.7543s,"-43d49'50.783""",1,6cm,C,1.0,,15.0,X,X,X,S
0203-438,J2000,02h03m40.7543s,"-43d49'50.783""",2,0.7cm,Q,0.08,,,W,W,W,W
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",0,20cm,L,1.0,9.0,,P,S,X,X
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",1,6cm,C,0.96,,,P,P,P,P
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",2,3.7cm,X,0.76,,,P,P,P,P
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",3,2cm,U,0.5,,,S,S,S,S
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",4,0.7cm,Q,0.6,,,W,W,W,W
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",0,90cm,P,6.0,1.0,,S,S,S,X
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",1,20cm,L,4.0,,100.0,S,P,P,P
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",2,6cm,C,3.7,,100.0,X,S,P,P
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",3,3.7cm,X,2.32,,100.0,X,S,P,P
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",4,2cm,U,2.0,,100.0,X,X,S,P
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",5,0.7cm,Q,1.3,,,S,S,S,S
0204+440,J2000,02h04m54.7864s,"44d03'06.921""",0,0.7cm,Q,0.1,,,W,W,W,W
0204+368,J2000,02h04m55.596051s,"36d49'17.997230""",0,20cm,L,0.56,10.0,,S,S,X,X
0204+368,J2000,02h04m55.596051s,"36d49'17.997230""",1,6cm,C,0.28,,,S,S,S,S
0204+368,J2000,02h04m55.596051s,"36d49'17.997230""",2,3.7cm,X,0.26,,,S,S,S,S
0204+368,J2000,02h04m55.596051s,"36d49'17.997230""",3,0.7cm,Q,0.0,,,X,X,X,X
0204-170,J2000,02h04m57.674350s,"-17d01'19.840180""",0,20cm,L,1.2,,,S,S,S,S
0204-170,J2000,02h04m57.674350s,"-17d01'19.840180""",1,6cm,C,1.25,,,P,P,P,P
0204-170,J2000,02h04m57.674350s,"-17d01'19.840180""",2,3.7cm,X,1.14,,,P,P,P,P
0204-170,J2000,02h04m57.674350s,"-17d01'19.840180""",3,2cm,U,0.9,,,P,P,P,P
0204-170,J2000,02h04m57.674350s,"-17d01'19.840180""",4,0.7cm,Q,0.94,,,S,S,S,S
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",0,20cm,L,0.9,6.0,,P,P,P,X
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",1,6cm,C,1.47,,,P,P,P,P
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",2,3.7cm,X,0.76,,,P,P,P,P
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",3,2cm,U,1.4,,,S,S,S,S
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",4,0.7cm,Q,0.7,,,W,W,W,W
0205+147,J2000,02h05m13.1179s,"14d44'32.380""",0,0.7cm,Q,0.12,,,W,W,W,W
0207+627,J2000,02h07m02.9914s,"62d46'12.203""",0,3.7cm,X,0.93,,,P,P,P,P
0207+627,J2000,02h07m02.9914s,"62d46'12.203""",1,0.7cm,Q,0.15,,,W,W,W,W
0207+318,J2000,02h07m34.9903s,"31d52'06.458""",0,0.7cm,Q,0.32,,,W,W,W,W
0208-004,J2000,02h08m26.3466s,"-00d47'44.292""",0,0.7cm,Q,0.16,,,W,W,W,W
0209-046,J2000,02h09m30.7666s,"-04d38'26.150""",0,0.7cm,Q,0.12,,,W,W,W,W
